ts,state,center_offset,ndt_response_time(ms),instance,gnss_pose_x,gnss_pose_y,ndt_score,current_pose_x,current_pose_y
34929.644558261,None,-4.321588249706363,46.391998291015625,613,295.441,302.796,0.48495373129844666,295.599,302.698
34930.011085091,None,-4.344015653747101,45.06800079345703,616,294.507,303.334,0.48052331805229187,294.643,303.249
34930.385595851,None,-4.284245207734958,48.20000076293945,619,293.546,303.833,0.48274311423301697,293.716,303.749
34930.759874649,None,-4.215949833667364,46.724998474121094,622,292.56,304.29,0.49705588817596436,292.741,304.208
34931.125239993,None,-4.19170669298318,40.215999603271484,625,291.561,304.7,0.49949970841407776,291.731,304.629
34931.489305455,None,-4.139451654506867,44.34600067138672,628,290.559,305.062,0.5062965154647827,290.717,304.987
34931.876597729,None,-4.163869834661014,45.77799987792969,631,289.722,305.329,0.5262391567230225,289.732,305.314
34932.241046743,None,-4.173531478256733,45.28799819946289,634,288.545,305.658,0.5318681597709656,288.72,305.587
34932.625960359,None,-4.144868755461409,43.98899841308594,637,287.699,305.863,0.5390543341636658,287.71,305.842
34933.000472736,None,-4.108299039748713,44.33100128173828,640,286.685,306.077,0.5415008068084717,286.663,306.073
34933.404449558,None,-4.014715182923932,45.38100051879883,643,285.509,306.29,0.5283721089363098,285.674,306.251
34933.758613871,None,-3.880157857613483,43.02000045776367,646,284.517,306.511,0.5323123931884766,284.672,306.464
34934.113659358,None,-3.7158945087287134,47.020999908447266,649,283.524,306.751,0.5305587649345398,283.716,306.7
34934.518804638,None,-3.5536325077306503,40.53099822998047,652,282.691,306.96,0.5373643636703491,282.683,306.955
34934.893952605,None,-3.3133876923777055,42.74700164794922,655,281.513,307.266,0.5420119166374207,281.686,307.211
34935.277330171,None,-3.078192326674852,47.595001220703125,658,280.495,307.539,0.5391685366630554,280.672,307.479
34935.640852628,None,-2.850722364594631,47.9370002746582,661,279.462,307.82,0.5258968472480774,279.643,307.76
34936.025612682,None,-2.613770456639233,48.54899978637695,664,278.409,308.111,0.5366570949554443,278.586,308.032
34936.400690063,None,-2.377262501281692,46.08399963378906,667,277.337,308.409,0.5418397188186646,277.524,308.338
34936.784481543,None,-2.1350414515882625,43.21699905395508,670,276.253,308.71,0.525783360004425,276.438,308.641
34937.147812479,None,-1.8375853721664255,48.0880012512207,673,275.156,309.006,0.526002049446106,275.335,308.939
34937.533056273,None,-1.5466260052126533,53.402000427246094,676,274.045,309.292,0.527031421661377,274.214,309.219
34937.951978702,None,-1.286176504217063,55.81700134277344,679,272.926,309.56,0.5367394089698792,273.116,309.492
34938.33581966,None,-1.0390245425397977,51.558998107910156,682,271.802,309.805,0.5269957780838013,271.991,309.745
